"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sym","KO","bnum"
"17085_yijD",209.423852306187,-0.978287302582756,0.19813647708541,-4.93744169157225,7.91540614884195e-07,2.08247593947451e-06,yijD,NA,b3964
"17086_trmA",608.788476613808,1.97106643526887,0.196948126913609,10.0080486479238,1.40496316756545e-23,1.84042819122972e-22,trmA,K00557,b3965
"17088_murI",628.821772172358,0.896849060839181,0.158304663788977,5.66533568483301,1.4673698150494e-08,4.66500543488385e-08,murI,K01776,b3967
"17089_murB",942.248949216621,0.0984110685730277,0.129825045083885,0.758028379727812,0.448433993310063,0.500437935442363,murB,K00075,b3972
"17090_birA",550.782749235077,0.127921236507534,0.164716514305955,0.776614518869222,0.437386232998989,0.489418763400479,birA,K03524,b3973
"17091_coaA_2",1011.29096523843,1.0380673636643,0.153985286331945,6.74134125663499,1.56931131241548e-11,6.75803253642606e-11,coaA,K00867,b3974
"17093_preprotein_translocase_subunit_SecE",3916.43949300084,1.22648633586379,0.135182986658941,9.07278620022015,1.16011771813284e-19,1.00090156233392e-18,secE,K03073,b3981
"17094_hypothetical_protein",2215.02946139711,1.39019639673123,0.204870780413852,6.78572314667293,1.15506465738440e-11,5.0435807552806e-11,nusG,K02601,b3982
"17095_rplK",6643.91844897277,1.87923822975185,0.15212587095916,12.3531797576781,4.68234635843279e-35,1.6736043698284e-33,rplK,K02867,b3983
"17096_rplA",13031.5344888301,2.03965430168941,0.237143178496675,8.60094021940422,7.9065663179864e-18,5.80124015472198e-17,rplA,K02863,b3984
"17097_rplJ",51768.3386973994,2.80691300075382,0.170835427089909,16.4305088737629,1.15684082147775e-60,7.23603933834331e-58,rplJ,K02864,b3985
"17098_rplL",59673.7081925872,2.61107456394776,0.186050865148701,14.0341973785549,9.62802831864813e-45,8.3066644321578e-43,rplL,K02935,b3986
"17100_rpoC",17229.1790651066,1.43642023052292,0.191516026842163,7.50026122725874,6.36907757903322e-14,3.32681254754512e-13,rpoC,K03046,b3988
"17103_thiG",23.1478697679167,-0.259277414679328,0.24715009898869,-1.04906862566619,0.294146534793171,0.344709428596025,thiG,K03149,b3991
"17104_thiS",8.06191264342742,0.548678058714901,0.334228417000622,1.64162599828811,0.100667536340254,0.130232769350215,thiS,K03154,b4407
