"","K-statistic","P-value"
"17668_pdhR_3","0.459484435218902","0.046"
"17669_aceE","0.676059913588228","0.004"
"17670_aceF","0.497461273617773","0.04"
"17687_hypothetical_protein","0.447328745204826","0.044"
"17688_panC","0.630647600480513","0.003"
"17703_hrpB_1","0.996657806093836","0.001"
"17704_mrcB","0.781891812442962","0.003"
"17718_hypothetical_protein","0.787536224150035","0.004"
"17723_tsf","0.593573623422521","0.018"
"17730_rseP","0.678953948176373","0.004"
"17731_bamA","0.768981280857276","0.004"
"17733_lpxD","0.577489419214441","0.02"
"17734_fabZ","0.686152919369441","0.005"
"17739_accA","0.555241124260268","0.02"
"17751_tsaA","0.577096266038681","0.011"
"17757_dkgB","0.882511084598299","0.002"
"17763_hypothetical_protein","0.887211341794358","0.003"
"17774_hypothetical_protein","1.16917688451881","0.001"
"17792_flhA_2","1.26438008586131","0.003"
"17836_dinB_2","0.574020223034669","0.019"
"17881_ykgO","0.673936450091206","0.017"
"17886_ytbE","0.708912640279519","0.006"
"17906_allS_3","2.6828288973284","0.001"
"17907_hypothetical_protein","0.561077837243139","0.03"
"17908_Ankyrin_repeats_-3_copies-","0.524556055905347","0.023"
"17909_hypothetical_protein","0.600413815158762","0.01"
"17913_atzC","0.949079022752834","0.001"
"17919_yahK","1.59012567200423","0.002"
"17922_bhsA_2","0.479076446787357","0.021"
"17937_lacI","1.13278690005896","0.002"
"17953_tauA","0.557658542050068","0.012"
"17956_tauD","0.512736863064032","0.019"
"17957_hemB","0.675251926705722","0.007"
"17969_adrA","0.848252687833823","0.003"
"17974_hypothetical_protein","1.40648315528646","0.001"
"17989_preprotein_translocase_subunit_YajC","0.624988849919062","0.017"
"17992_hypothetical_protein","0.654197052496085","0.01"
"17996_ribD","0.53646166557754","0.021"
"18006_yajL","0.566652243069679","0.02"
"18020_hypothetical_protein","0.888238657289856","0.005"
"18026_hupB","0.901167408613912","0.005"
"18029_fadM","1.26798278058063","0.003"
"18034_yheI","0.648887040151697","0.011"
"18038_tesB","1.36710174294107","0.001"
"18040_ogt_1","0.684104206254982","0.027"
"18043_ylaC","0.617113357258159","0.01"
"18051_hypothetical_protein","0.608013313962102","0.012"
"18056_ybaB","0.426363844167385","0.045"
"18092_allA","0.757578741613177","0.006"
"18101_hypothetical_protein","0.973834745700484","0.001"
"18102_allC","0.612253813706896","0.005"
"18110_lpxH","0.47332705849953","0.036"
"18113_ybcI","0.470764110499234","0.031"
"18133_cusF","0.410317057915566","0.039"
"18152_fepD","0.580341893842619","0.016"
"18154_fepB","0.505074443038634","0.026"
"18161_hypothetical_protein","0.5393281458911","0.033"
"18164_noc_2","1.05643122323085","0.001"
"18173_rnk","0.761740589996553","0.006"
"18196_mrdB","0.437587592271043","0.04"
"18226_nagD","0.582980366159265","0.01"
"18228_nagA_2","0.622538692067093","0.006"
"18232_glnS","0.488080352458018","0.039"
"18239_seqA","0.414608529746473","0.044"
"18262_kipI","0.512566994962965","0.024"
"18263_kipA","0.532952791814404","0.022"
"18292_translocation_protein_TolB","0.728443989835181","0.009"
"18293_pal","0.618911139079668","0.011"
"18294_tol-pal_system_protein_YbgF","0.779286583129042","0.005"
"18295_nadA","0.732845430487051","0.002"
"18306_ylmA","0.44158416006375","0.039"
"18319_putative_kinase_inhibitor_protein","0.450377638485969","0.035"
"18326_Putative_gluconeogenesis_factor","0.843996317299428","0.001"
"18329_moaC","0.602023458978256","0.009"
"18330_moaD","0.453979896476179","0.049"
"18362_ompX","0.525600134339052","0.039"
"18380_gsiB","0.821147498109774","0.003"
"18382_gsiD","0.768987011404815","0.031"
"18386_biofilm_formation_regulatory_protein_BssR","1.00392966059736","0.001"
"18394_ybjI","0.516727117652795","0.026"
"18413_artI","0.545333045799882","0.016"
"18430_cspD","0.811535872681706","0.007"
"18437_trxB","0.607838417500868","0.024"
"18467_kdsB","0.490090475021197","0.031"
"18473_mukB","0.767585332940859","0.009"
"18477_aspC","0.567268320893192","0.009"
"18500_pqiB_2","0.695687690256857","0.004"
"18501_hypothetical_protein","1.02671826738522","0.001"
"18529_appA_2","0.777229522834235","0.006"
"18539_GnsA-GnsB_family_protein","0.669548623589391","0.007"
"18540_yccM_2","0.902687011112883","0.001"
"18543_torR","0.442194496435214","0.047"
"18550_agp","1.44160755865829","0.001"
"18588_csgB","0.437186162001686","0.042"
"18589_csgA","0.769796776689372","0.003"
"18590_csgC","0.523943749228076","0.031"
"18634_rpmF","0.512510574888976","0.028"
"18636_fabH","0.430628481070964","0.036"
"18639_acpP","0.864204513297372","0.004"
"18650_lpoB","0.74642495595606","0.003"
"18681_rluE","0.494195092177325","0.046"
"18703_hypothetical_protein","0.532602420605929","0.029"
"18705_lexA_2","0.583325634704858","0.007"
"18709_fadR","0.716442755777903","0.005"
"18722_dhaL","0.648452747628198","0.007"
"18732_lolB","0.635678768730132","0.025"
"18736_hypothetical_protein","0.664487721543241","0.007"
"18737_hypothetical_protein","1.49405088007178","0.001"
"18742_chaA","0.499968271916277","0.037"
"18746_Invasin","0.981655996780713","0.002"
"18756_hypothetical_protein","0.55713104440749","0.018"
"18757_rssA","0.474497468706209","0.04"
"18765_hypothetical_protein","0.977503310213256","0.007"
"18770_oppC","0.472243951922669","0.049"
"18772_oppF_2","0.547996497484249","0.024"
"18777_transport_protein_TonB","0.520670750767711","0.021"
"18787_trpC","0.520102163674822","0.021"
"18822_hypothetical_protein","0.660600979008136","0.005"
"18866_abgA","1.12623588685395","0.003"
"18879_ldhA","1.04186149039514","0.001"
"18901_ydbC","1.26315740804352","0.001"
"18919_hypothetical_protein","0.52965121533019","0.016"
"18922_tehA","0.494109211988686","0.036"
"18923_tehB_2","0.568435431012368","0.024"
"18928_sinR","0.462013953787706","0.039"
"18941_hypothetical_protein","0.524724235083441","0.016"
"19025_uxaB","0.525313811045918","0.023"
"19026_yedQ_2","0.886100573437649","0.001"
"19029_sad","0.52422208590707","0.027"
