"","log2FoldChange","symbol","bnum"
"15586_eutC",-1.95687509912271,"eutC","b2440"
"18141_ybdK",-1.97439090448912,"ybdK","b0581"
"16243_yhaH",-1.97687551235126,"yhaH","b3103"
"16647_hypothetical_protein",-1.98630295658619,"bcsF","b1316"
"18102_allC",-1.9903383734443,"allC","b0516"
"15379_arnF",-1.99312572511562,"yfbJ","b2258"
"14831_ydiV",-1.99604032433944,"ydiV","b1707"
"16835_azr",-1.99829024004777,"yieF",NA
"17171_hypothetical_protein",-2.00148364450613,"yjbQ","b1316"
"14832_mepS_1",-2.00186550603699,"nlpC","b1708"
"16206_yqjH",-2.0020893935163,"yqjH","b3070"
"16401_glnQ_1",-2.00708243422031,"aapP","b3271"
"19045_putative_transporter",-2.01146090437661,"ydeE","b0005"
"15374_arnC",-2.01456700558055,"yfbF","b2254"
"15286_yeiG",-2.01891755206453,"frmC","b2154"
"19169_cfa",-2.02712627280516,"cfa","b1661"
"19155_hypothetical_protein",-2.02817023681025,"ydhL","b1316"
"18031_sgrR_2",-2.05299628391543,"ybaE","b0069"
"16560_ugpB",-2.05562553091708,"ugpB","b3453"
"17300_esterase",-2.06064343513743,"yjfP","b0164"
"16960_fadA",-2.06346948759836,"fadA","b3845"
"17142_phosphate-starvation-inducible_protein_PsiE",-2.06561192408393,"yjbA",NA
"17108_rsd",-2.07084494996196,"rsd","b3995"
"18712_dadX",-2.07477998818808,"dadX","b4053"
"16564_livH",-2.07591366821431,"livH","b3457"
"16599_uspB",-2.08060323667625,"yhiO","b3494"
"18354_bhsA_4",-2.08078637699462,"ybiM","b1111"
"19174_hypothetical_protein",-2.09462707295364,"ydhS","b1316"
"16133_yghU",-2.12184627025297,NA,"b2989"
"17255_hypothetical_protein",-2.13242206512769,"yjeI","b1316"
"16819_hypothetical_protein",-2.15179798871914,"yidX","b1316"
"15264_osmF",-2.15981197610173,"yehZ","b2131"
"16240_hypothetical_protein",-2.16122356221258,"yqjK","b1316"
"15998_ndhS",-2.16530313997363,"xdhC","b2868"
"15105_amn_2",-2.16946411096802,"amn","b1982"
"15908_glpR_1",-2.17061823258589,"fucR","b2805"
"18743_chaB",-2.17193540769063,"chaB","b1217"
"18404_potF_1",-2.17328308920852,"potF","b0854"
"14883_hypothetical_protein",-2.17860380000186,"ynjH","b1316"
"18967_narW",-2.18154684599691,"narW","b1466"
"16447_bfd",-2.18838766209531,"bfd","b3337"
"17130_pepE",-2.19064290595332,"pepE","b4021"
"18584_Curli_production_assembly-transport_component_CsgG",-2.19783864296203,"csgG","b1037"
"19177_ydhX_2",-2.19875365613427,"ydhX","b1671"
"16524_malP_1",-2.19882095124431,"glgP","b3428"
"16591_yhhJ",-2.20046974612817,"yhhJ","b3485"
"17183_yjcH",-2.20329085008507,"yjcH","b4068"
"19053_ydfZ",-2.206787554254,NA,"b0026"
"15377_arnT",-2.21083537499454,"arnT","b2257"
"17964_hypothetical_protein",-2.22210433630353,"yaiZ","b0380"
"17760_ycgJ",-2.22529561455522,"yafE","b0210"
"17633_ilvI",-2.22641986466316,"ilvI","b3671"
"18186_cspE",-2.22793978454459,"cspE","b3556"
"14909_hypothetical_protein",-2.23247980278317,"yeaQ","b1316"
"17076_argE_2",-2.23468286870703,"argE","b3957"
"18276_sdhB",-2.23643312567841,"sdhB","b0724"
"18744_ChaC-like_protein",-2.236482993429,"chaC","b1218"
"16779_yicJ",-2.24371241458387,"yicJ","b3877"
"17364_tabA_3",-2.24530497897717,"yjgK","b4252"
"18588_csgB",-2.25508112064691,"csgB","b1041"
"18917_hypothetical_protein",-2.25620478003307,"ydcJ","b1316"
"15333_napB",-2.25758707215088,"napB","b2203"
"18942_ydcZ",-2.25805273224648,"ydcZ","b1447"
"16263_garD",-2.26448805874168,"garD","b3128"
"19099_bioD1_2",-2.27195516046154,"bioD2","b1593"
"18272_hypothetical_protein",-2.27995575172158,NA,"b0026"
"17381_ahr",-2.28021213135804,"yjgB","b4269"
"18768_oppA",-2.28681003424432,"oppA","b3020"
"17297_aidB",-2.28713982380776,"aidB","b4187"
"18943_yncA",-2.28773399467324,"yncA","b1448"
"15830_hypC_1",-2.29047653645496,"hypC","b2990"
"16565_livK",-2.29676934581727,"livJ","b3460"
"15815_hydN_1",-2.30501050515399,"hydN","b2713"
"16255_tdcB",-2.30797823533328,"tdcB","b3772"
"18711_dadA",-2.31300480350929,"dadA","b1189"
"18279_sucC",-2.31337916106034,"sucC","b0728"
"15906_fucK",-2.31689907486395,"fucK","b2803"
"18548_cbpA",-2.31728389931743,"cbpA","b1000"
"15770_gabT",-2.31896564115062,"gabT","b2662"
"17136_lysC",-2.32078743267191,"lysC","b4024"
"17908_Ankyrin_repeats_-3_copies-",-2.322064142029,"yahD","b0318"
"17170_aphA",-2.32624511772304,"aphA","b4055"
"18966_narV",-2.32862188446578,"narV","b1465"
"16559_ugpA",-2.3356040007191,"ugpA","b3452"
"15769_gabD",-2.33568643474405,"gabD","b2661"
"19184_ynhG",-2.33623979717176,"ynhG",NA
"16563_leucine-isoleucine-valine_transporter_permease_subunit",-2.3447978366245,"livM","b3456"
"16718_hypothetical_protein",-2.35359025308168,NA,"b0026"
"16561_livF",-2.36533313343705,"livF","b3454"
"18422_hcr",-2.36976708753557,"hcr","b0872"
"17336_msrA",-2.37925888384592,"msrA","b4219"
"15681_stationary_phase_inducible_protein_CsiE",-2.37990559539056,"csiE","b0435"
"18147_MbtH-like_protein",-2.38604447484361,"ybdZ","b4511"
"15742_lipoprotein",-2.39039430550785,"yfiL","b0027"
"18337_ybhO_1",-2.3952034477935,"ybhO","b1046"
"18275_sdhA",-2.40168464072883,"sdhA","b0723"
"18040_ogt_1",-2.40283923676743,"ybaZ","b0454"
"15781_nrdH",-2.40304481633782,"nrdH","b2673"
"15055_Glucan_1-4-alpha-maltohexaosidase_precursor",-2.42339883977156,"amyA","b1927"
"16596_yhiM",-2.42788262920825,"yhiM","b3491"
"16658_dppA_1",-2.42807900377498,"dppA","b3544"
"15520_dsdA_2",-2.43189796693872,"dsdA","b2366"
"15697_glyA",-2.43217575195783,"glyA","b2551"
"18720_treA_2",-2.43275561021768,"treA","b3519"
"17782_ivy",-2.43865303959844,"ykfE","b0220"
"17504_hypothetical_protein",-2.45664387937858,"yjjB","b1316"
"16783_hypothetical_protein",-2.47836973673682,"yicS","b1316"
"15907_fucU",-2.48506687451442,"fucU","b2804"
"17079_argH",-2.49387813309681,"argH","b3960"
"15259_ycgE_1",-2.49647646457091,"mlrA","b2127"
"15999_Limonene_hydroxylase",-2.50028281484173,"ygeV","b2869"
"16033_gcvP",-2.51165109144188,"gcvP","b2903"
"16876_rbsD",-2.51339033388886,"rbsD","b3748"
"15863_small_toxic_polypeptide",-2.51736735857838,NA,"b0023"
"16539_glgC",-2.52050579813734,"glgC","b3430"
"17754_metI",-2.52269116165901,"yaeE","b0198"
"15295_yeiL",-2.52377139457252,"nsr",NA
"17718_hypothetical_protein",-2.52674085229378,"yaeH","b0163"
"18188_2-oxoglutaramate_amidase",-2.52686503931607,"ybeM","b4581"
