,HM01_UR,HM01_UTI,HM03_UR,HM03_UTI,HM06_UR,HM06_UTI,HM07_UR,HM07_UTI,HM14_UR,HM14_UTI,HM17_UR,HM17_UTI,HM43_UR,HM43_UTI,HM54_UR,HM54_UTI,HM56_UR,HM56_UTI,HM57_UR,HM57_UTI,HM60_UR,HM60_UTI,HM66_UR,HM66_UTI,HM68_UR,HM68_UTI,HM86_UR,HM86_UTI
b0641,491.017690480594,667.56296362717,342.717997244135,732.310034470763,545.367547572594,642.933076775683,381.945395237779,769.82653249354,372.206061651277,599.159647606417,570.394860076222,638.562630747982,615.584858097512,769.135280288827,624.825928567879,775.932263007717,847.664159289602,893.446358860724,467.103988114175,341.91260484759,508.13529986737,382.743454099662,527.570781374836,340.946888744797,425.343280895577,520.804554866888,478.597496306925,585.970833151499
b0859,165.879092898281,549.890848004753,228.478664829424,721.380033956274,383.313887921818,895.736859391364,196.344644106059,1277.58445818077,161.558557644962,385.123768790493,189.888640319305,1076.28701472845,152.244967587421,554.287542555086,189.213257238307,1058.08944955598,131.989228955128,842.202809263449,172.295642576669,906.465975642447,90.4503878448719,574.115181149492,214.296450133672,937.603944048191,123.519688772076,1337.29169572272,220.044825888241,674.057951860548
b3747,240.252113423098,445.796284184924,185.995103568624,350.853016515097,287.41592466364,363.600502157122,241.737591922645,266.16342878766,190.141994766763,381.603441836284,277.725804075451,906.346959771329,202.7731238583,412.036757297586,168.104273165068,553.733478600962,272.777739840599,695.706543944181,285.085115143789,1001.8834467627,131.354703367075,489.061080238456,153.135589638005,767.130499675793,150.06110949996,497.284349163222,191.038917021155,727.676198031273
b0870,542.41684602654,169.719397532331,680.255072383295,230.623010855718,850.017309111617,429.142223576002,640.336021270651,274.353072750357,656.797674733556,179.536674664672,716.911622856185,216.287342672703,810.76224604581,290.387809904965,716.554059358863,233.955333846266,1010.2413682883,362.322038917203,613.341373235682,214.68931002058,627.967660833824,287.057590574746,665.766313487182,340.946888744797,816.659099319508,393.123438189844,460.593828734251,229.792483588823
b3190,512.823392833419,1063.57489120261,546.587282074925,936.701044091707,603.184290638394,741.245658904003,555.996461422084,1494.61002319225,426.887419623418,1062.43467478036,395.813941241391,1107.18520653884,328.928389841803,766.192160593844,421.028282333515,987.550152918913,256.855229680932,962.173001850011,248.136839647663,946.223255275887,293.819731215826,1169.49388752674,321.678113599347,852.367221861992,438.613991259519,1031.52902157506,399.581399737965,1043.00255051149
b0354,292.819431595088,439.00750828363,373.803529873989,245.925011576002,538.696384911156,385.447742630082,246.840941085456,286.637538694403,348.593657072398,361.18554550187,316.724046904944,267.784329023347,314.727666183974,221.715017022034,313.180563704784,223.374439350707,256.017202830424,212.208581861657,308.809797304459,302.155325214149,297.852551056043,244.530540119228,307.204932871365,0,273.580798272035,188.161645629327,248.550632878309,241.282107768264
b0007,174.445618822606,83.7282361159501,192.471256199843,59.0220027782406,162.609589872563,82.7074103619204,177.811428725323,94.1809055710182,157.519593703838,49.2845773589297,244.194604633271,61.7963836207724,232.825818110915,61.8055135946379,251.005010616335,121.092459226962,253.084108853643,66.3151818317677,364.037745940772,166.980574460451,182.629127049837,170.108201822072,243.242811589637,85.2367221861992,66.6938264444265,97.4408522009016,180.536777603762,61.2779956236862
b4166,388.608766930716,1169.93238032287,482.343847973228,1268.97305973217,331.056447073884,836.437206679044,504.425775145253,1093.31746902008,477.219124120503,1535.56661742608,350.255246347124,736.406904814205,244.054297282222,365.927882076189,265.973199322813,714.798205922261,374.178988752157,875.360400179333,445.712881247997,978.02907898264,395.216344341287,861.172771724239,293.665505738736,426.183610930996,318.497048734608,1011.36884525763,352.571823298205,494.05383971597
b0128,297.492082099265,332.650019163369,306.192496404057,359.597016926688,307.707377758849,596.117561476483,375.499059453175,397.197732190816,381.216058135323,380.1953110546,375.768115487914,190.538849497382,392.666521608338,258.013493260155,343.116941117742,373.858272176446,465.104902032357,418.991376118896,381.539560649463,230.592221873956,344.518037778557,265.794065346987,336.151294327329,255.710166558598,423.641907771995,231.842027650421,441.589957407539,215.749609591728
b2371,54.1248683400496,6.78877590129325,103.877488204761,9.83700046304009,49.4777897390019,18.7262061196801,105.021553824171,20.4741099067431,59.6523905150628,447.785588575418,52.4836165181955,87.5448767960943,44.5836672978348,33.3553565431379,27.6335791504222,10.5808944955598,32.6830471698413,19.2916892601506,74.2854802079995,71.5631033401932,36.871495681986,53.1588130693974,45.2870493746541,85.2367221861992,31.9858147233474,10.080088158714,19.5039732037305,20.4259985412287
b4169,563.833160837351,595.149354013375,503.844674708876,674.381031743971,590.95382575909,811.468931852804,562.442797206688,1101.50711298278,660.83663867468,649.148290356188,700.146023135095,762.155397989526,585.201914457505,515.045946621982,723.846253856891,806.499291550446,699.752420174807,890.432032413826,654.956799320791,508.89317930804,762.202949801054,1031.28097354631,644.289980794047,426.183610930996,569.619721775357,786.246876379689,585.619297988933,538.735711524908
