"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","bnum"
"1886_atoA",2907.45996314101,-10.3569023027841,0.691115386827125,-13.5388424004581,9.22308851039307e-42,1.14366297528874e-39,"atoA","b2222"
"1887_atoE",4855.46578336632,-8.9943337088693,0.419091863639375,-19.0753732116078,4.04524392670634e-81,6.83646223613371e-79,"atoE","b2223"
"1888_thlA_1",4170.36363116245,-8.01348489416306,0.546836945093128,-12.8255505724264,1.17945744406398e-37,2.21737999484029e-35,"atoB","b2844"
"18935_potA_3",29.1286560969616,-2.13750081749785,0.355168224925997,-3.20270997703936,0.00136141010916136,0.0105131113985239,"ydcT","b1441"
"18940_hypothetical_protein",299.474330058676,2.99178669893936,0.43016657265596,4.63026842518596,3.65192003908415e-06,6.76822513910263e-05,"ydcX","b1316"
"18949_aroP_2",507.492877831778,4.19440175299274,0.525087667259491,6.08355890296337,1.17543705915243e-09,4.96622157491903e-08,"ansP","b1453"
"18998_hypothetical_protein",344.808220560214,-4.45222794512185,0.612424325838022,-5.63698697042762,1.73051200511387e-08,4.2916697726824e-07,"ydeM","b1316"
"18999_betC",9370.12465455745,-3.49607219862524,0.737927823067181,-3.38254246634904,0.000718181732131791,0.0063382387788139,"ydeN","b1498"
"19007_focC_3",50.2635761281093,2.62937681089251,0.46467908809808,3.5064560739359,0.000454116383187556,0.00476393790664682,"fmlB",NA
"19008_fimA_9",52.8499059738955,2.92422134079971,0.551252431700284,3.4906355603088,0.000481873080349273,0.0049615080124851,"fmlA","b4314"
"19121_uidC",1300.81757469111,-3.62950632078708,0.786536225136677,-3.34314712628799,0.000828339697642558,0.0245188550502197,"uidC","b1615"
"19122_uidB",1161.20728954966,-3.12932595062964,0.744379187166403,-2.86053934250265,0.00422921074877815,0.0283306165821765,"uidB","b1616"
"19166_purR_2",1062.22592583718,2.41522350678456,0.442629769211917,3.19730755864952,0.00138716935976053,0.0181062105905585,"purR","b1658"
"19630_ptsG_1",8668.31684947968,6.1193974413718,0.825557341498278,6.20114095537055,5.60552797132662e-10,1.20518851383522e-07,"ptsG","b4577"
"20803_hypothetical_protein",142.938894974269,-4.14041092447086,0.893780854179583,-3.51362519099102,0.000442036058735083,0.0316792508760143,NA,"b0026"
"23242_ppsE",3338.08910205935,3.8566907360753,0.846704793541312,3.3738922442228,0.000741133733526157,0.0398359381770309,"irp1",NA
"2359_mopA",516.853046421825,-2.18355091204861,0.341778757897509,-3.46291536469193,0.000534356448053932,0.00602041598140763,NA,"b0026"
"2513_xdhA_1",301.837463246768,-2.86039373593007,0.412297802361177,-4.51225722105681,6.41413344480811e-06,9.73273818962847e-05,"xdhA","b2866"
"2670_kpsM",3190.80575114055,2.73303466885272,0.562837950881446,3.07910059394301,0.00207626562622992,0.018467836359624,"kpsM",NA
"3215_ccp",170.118479606812,-1.89764338002235,0.296534614257927,-3.02711163170171,0.0024690275878732,0.0306159420896276,"yhjA","b3518"
"4603_hypothetical_protein",35.7741659884174,2.42489564806533,0.440195581959086,3.23696035685739,0.00120810193245136,0.0113427348102378,NA,"b0026"
"7900_gspK",74.1970137738542,3.68790370318523,0.530169632609395,5.06989374317022,3.98037862167352e-07,9.60977124375464e-06,"gspK","b3332"
"7901_xcpW",54.9590967947439,3.15060272510166,0.493998681316487,4.35345843306787,1.34006513586365e-05,0.000991648200539102,"conserved hypothetical protein","b3331"
"7902_Bacterial_type_II_secretion_system_protein_I-J",41.9315654260337,3.97774984979747,0.418800529236201,7.11018645374739,1.15886288812321e-12,3.59247495318194e-11,"gspI","b3330"
"7903_epsH",215.330088862608,4.89255203746881,0.459158853524936,8.47757155848333,2.29942936435303e-17,1.42564620589888e-15,"gspH2","b3329"
"7904_epsG",265.120991602746,5.07025493850251,0.587842275743506,6.92405957593715,4.38881196176034e-12,1.20936151835174e-10,NA,"b3328"
"7905_epsF_1",98.6454415628766,4.81195836572099,0.49089514734082,7.76532093741479,8.14387442017373e-15,3.36613476033848e-13,"epsF","b3327"
"7906_epsE_1",325.921452709043,3.66682478469523,0.488919107840729,5.45453172503943,4.91020685069394e-08,1.38304159627879e-06,"epsE","b3326"
"7907_pulD",828.772567706297,4.75280373657803,0.490305333125561,7.65401369929008,1.94801511982912e-14,3.64278827408045e-12,"gspD","b3325"
"7908_epsC",337.455065270744,5.0481204384626,0.510812798576018,7.92486102491453,2.28401630697104e-15,1.13287208825764e-13,"yghF","b3324"
"7909_hypothetical_protein",551.572803323716,4.7275632562308,0.515525219298268,7.2306128132873,4.80819380191138e-13,1.70347437553432e-11,"yahE","b0319"
"7910_pppA",284.117412417981,3.37273320408547,0.490977373820096,4.83267321592478,1.34711812914539e-06,2.38632354305755e-05,"pppA","b2972"
"7911_Procyclic_acidic_repetitive_protein_-PARP-",9201.53511086358,4.71489090182023,0.609366669428854,6.09631456427067,1.08541726239341e-09,4.96622157491903e-08,"yghJ","b4466"
