"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9","UR10","UTI10","UR11","UTI11"
"19176_Prokaryotic_cytochrome_b561",553,33,255,5,570,5,280,0,242,12,253,19,327,28,187,0,263,0,172,3,149,24
"19187_sufD",2728,79,2242,320,1926,288,2355,119,2356,18,1325,1126,4592,559,4173,523,3511,1,3025,3,772,55
"21_mec",122,17,160,11,158,39,105,7,103,11,13,2,289,115,203,10,137,1,78,3,185,15
"2418_barA",1365,321,2493,124,2217,40,1824,1221,1822,189,1432,649,1340,1287,1403,31,1365,16,2938,76,1060,657
"2513_xdhA_1",2813,53,2142,28,1181,9,1750,9,693,35,2576,43,3001,60,1512,12,1778,4,275,1,1157,20
"3215_ccp",1308,20,1051,33,1285,5,940,190,1314,45,540,42,886,70,779,6,702,0,567,5,701,36
"326_ybjJ",621,159,913,59,747,33,421,27,484,33,327,248,464,465,359,9,363,3,519,11,333,75
"4396_hypothetical_protein",501,32,235,18,328,93,608,9,71,8,408,130,654,232,570,2,80,7,593,11,286,61
"4400_hcpA_3",681,23,436,11,426,23,199,7,126,14,533,51,682,175,146,2,215,2,237,3,448,60
"4688_aes",939,31,419,19,541,5,562,86,285,6,182,25,52,2,246,104,274,7,304,7,92,5
"4774_Phage_antitermination_protein_Q",79,4,241,2,78,29,262,18,43,13,284,20,335,66,265,0,301,1,264,18,189,22
"5661_ybhF_1",1273,72,1649,29,1654,599,1242,41,1549,65,898,164,990,449,1579,9,875,2,1863,12,760,132
"603_hypothetical_protein",841,18,523,28,2330,10,1467,359,1227,59,1155,159,186,55,2149,20,819,5,762,48,185,35
"636_Bacteriophage_lysis_protein",36,0,7,0,13,1,40,11,10,5,131,31,14,12,78,0,73,0,93,3,489,16
"639_Phage_terminase_large_subunit_-GpA-",554,39,156,14,104,55,917,64,309,56,289,70,246,123,262,3,227,5,216,11,654,130
"651_Phage_minor_tail_protein_U",11,9,0,0,9,2,25,2,9,2,32,14,6,2,41,0,19,0,34,1,64,14
"659_Bacteriophage_lambda_tail_assembly_protein_I",48,2,98,12,88,27,81,11,155,29,84,7,103,40,58,1,152,7,42,2,147,7
"708_emtA",981,96,1395,53,1068,20,755,306,600,44,662,147,405,452,385,9,455,2,1526,22,424,396
"7902_Bacterial_type_II_secretion_system_protein_I-J",22,8,14,11,27,43,11,11,17,19,20,69,7,156,7,3,17,2,19,3,13,89
"7903_epsH",39,7,58,55,58,212,31,53,31,57,32,236,46,1598,22,35,44,6,54,21,42,370
"7904_epsG",61,11,111,73,98,544,23,30,8,58,46,251,37,1731,26,17,23,2,34,4,23,256
"7905_epsF_1",15,3,15,13,24,114,12,15,26,30,22,119,22,651,22,13,17,5,29,9,11,135
"7908_epsC",135,27,53,40,42,229,45,93,29,128,46,381,79,3635,35,38,57,2,85,32,18,604
"7909_hypothetical_protein",304,25,174,98,78,579,53,90,54,197,101,485,153,4063,61,35,100,9,125,42,72,1798
"7910_pppA",277,19,209,47,108,223,86,38,108,104,224,323,175,2625,124,25,167,3,112,24,80,518
"796_hypothetical_protein",131,20,134,19,81,1,92,61,70,7,67,23,194,65,94,82,163,9,147,5,123,5
"824_Phage_minor_tail_protein",20,0,6,1,28,5,9,2,67,4,17,5,20,9,11,0,43,0,27,4,3,2
