"","UR1","UTI1","UR2","UTI2","UR3","UTI3","UR4","UTI4","UR5","UTI5","UR6","UTI6","UR7","UTI7","UR8","UTI8","UR9","UTI9"
"5475_ybdL_1",869,3,5918,217,2987,9,7772,16,4116,26,8793,1,1275,0,103,7,619,47
"5476_ybdL_2",696,1,4912,152,3343,8,9945,26,4189,13,9593,1,1370,3,80,1,590,28
"605_hypothetical_protein",942,43,242,13,515,282,126,10,52,11,29,10,94,5,467,42,95,27
"629_hypothetical_protein",8,0,8,0,9,0,2,0,5,0,3,0,1,0,6,2,1,0
"637_Bor_protein",366,469,734,146,441,207,565,5310,240,113,0,0,83,35,1588,60,24,118
"670_icd_2",24,0,96,4,73,6,5,0,4,2,35,0,5,1,58,2,17,8
"6952_era_1",17,1,10,7,11,1,52,7,10,0,3,0,7,0,7,0,4,1
"711_cirA_1",624,30,409,18,652,30,451,70,486,115,525,7,580,8,1101,8,356,55
"721_acoR",858,74,1188,58,3905,37,779,31,687,208,557,269,796,9,633,8,1092,206
"7907_pulD",301,39,207,714,150,185,315,1179,218,6668,121,101,154,20,136,45,96,1506
"830_ompX_2",61,2,54,0,70,21,57,3,25,1,15,2,205,3,101,3,215,27
"8568_epsJ_2",2148,151,1490,2679,2157,274,1530,912,1705,2659,2078,25,2217,9,1771,140,1875,609
"9661_arcC1_3",41,1,47,6,17,1,9,2,16,4,13,5,9,3,13,0,14,1
"9662_argF_2",105,4,141,45,82,4,80,10,101,36,98,5,67,4,118,2,73,19
"9664_argR_2",147,2,274,76,141,8,154,15,133,55,154,3,157,1,134,4,152,36
"9972_mcbR",42,2,51,0,49,1,32,1,50,1,66,0,52,0,19,0,30,1
